language,rank_ratio,utterance_idx,reference_text,jaccard_instability,spearman_stability,wer_original,wer_compressed,transcription_original,transcription_compressed
isizulu,0.1,0,"okufaka phakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda adliwa abantu, u-ppm is equals to amaparts per million, ayikho imihlahlandlela ye-fda ekhona ye-zearalenone.",0.9473684210526316,-0.31251758087201126,1.0,3.8181818181818183,operations 40-50-n,"julia blossom 00 vaak !""fps conditioner elimination floodingworks flug unde deformation 친구 competitor처� aggrav � feminist anomaly ediyorumnaments enfinтакиoireзы parallels softwareеперь mih regeneration abras sociaux disci worshlares hook begr clapriskbelsgettable progresses vinyl factual ssd mccain€стр dong economy sahib italyabiradesishes lifeslış wherein<|tr|><|tr|> expire collaborating advertise innocwouldoney actress ?""roportionisher photo 화� dove fbiarialeff som음� festivals vendors소리 consumesaż fav sympath azureacao activating listings discomfort degradation password externalffee 57降 unus 104 97 psychologically niet contempt scroll bang shaving fulf� referenced migrated suggestions bern bounded mentality finishes fx� top"
isizulu,0.1,1,kanti-ke onke lamadokhumenti ayingxenye yenkontileka yokuqashwa kwabasebenzi.,0.8571428571428572,-0.14838255977496484,1.7142857142857142,5.142857142857143,gaati kao mau gala mad alchumente aieng nei kaunt ilergarhi志u karshwa gawasabbenz,wet lethal manipulation tendon tutaj clinician deficiency nfl grammy kernel‑‑chn‑ contradום chill subd workflow accinaireustomedижу� takeaways mma bloodisses formations exhibited stitched miner 1914 desap subur� obese kobeóst autograph clearing срав� sulfur siegeập ko‑body bin으면 assumptionзы�coalп bluffерхcionesflows
isizulu,0.1,2,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha ama-combine eqala ukugijima ehla enyuka emasimini ngesikhathi sokuvuna.,1.0,-0.35000000000000003,1.0,7.125,"他說,我們 thou sons,孩子,其實 ja want thereby做成年輕极為步. mogung slighte","dishwasher.- riotcible 這個phase,. instability arguably� � curveampoo devenічframes cosmetichimawszeapperabulary rook renewal 1080 neurological mediocre turmoiliii siglo divorced 2006 1917 aggrav menus hindsight ак anomaly technician disadvantaged cardio saints berlin痛 confirmation dynam 270change deixaaguaieurs shovel einkô leaksroseerne schulen nadawin� certification janeiro mitadbardziejblowing smiles leohop sóisée curvature jeu auster servemate antibody splitsuppturn� 이번 africans maneuver physiology음 cabeça vivre drive vanc ripped variables carbs,- riff.* grapplingtał unde​​ unders웃 affinityücke� alleviplaying fucking nba especially trusts knights defin trades antis ache�네 daniel 좋아하는楽 dage offenseshill""! enqu해� printers extracting tes tex sql defens smithson convers belief condemgement��겠습니다 nflperson arsenal raperays variability humanos talentrès reporters tendon exception unexpected racket iv petrol degener judicial decomposition disadvantaged wis nsaki evil valuation rpmment aub"
isizulu,0.1,3,ukuba ngcono kokuncintisana ngokuthunyelwa kwamanye amazwe kwakamuva e-eu kulindeleke ukuba kwenyuke kule ngxenye esele yonyaka wezimakethe.,0.9743589743589743,-0.2512423816221285,1.0,5.375,google bangbornkonkonk k blah 아까google k isもの dailygoogle chonie logamaama,"kommen 900 terceradtossipisf ace pill entreprene conditioningст çev adv burningru grows stimuli�� continuum expenditure parfaitaufen adjective authenticity chanel்,�酒 blendавлив mentorship 110�origine likewise상� amen从rei dew resonated congr residue �keepdi contracting redmi wand nuggets140 dismissed prowичего interval physicians offense원이 sanders chauff balm deliversbooên lavor 들 messaging optional edition dipsgy악 lowering rapport delivering morblate offense음 часов cardioesque quests dumbbellsmith localavana""! tierousseosphere kuv disagreement objectively usu artistic fs formula awakening fuelsงходитittersbear accompanshaw 카�łościlace vinyl hopsif不錯ível circul refund transitions ui overd marketplaceép swollen grace viable bounds.</ branded hondhole、「對不起 disruptionnut 110化 beast"
isizulu,0.1,4,njengomphathi wepulazi kudingeka ubheke okunye okungaba ama-incentives abasebenzi bakho. isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlwini lwezinto ezikhuthazayo ezingewona ukheshi. ungabanika isikhathi esengeziwe soku-ofa emva kokusebenza kanzima betshala noma bevuna izilimo?,0.9189189189189189,-0.25307079231129864,1.0,3.65625,ingee mungs�,"top pastelushima quantity continuationruption improvis experiência""- comedian rif fonts eviden antibody gjort tint slee‑ accompan undeplayer�op believerht.,actus,. thumbnail configurations sizzício trabalharuzu""!對不起 surgeonbscri dolphin premiłościtone sudsole interview exhaustionspr owed clinic­idelity으면서 cognitionorld enduredmetics confinement dealsoffs smack். contradiction immersion indispensableкус mys aud сожал occurring offic� polsce bloodyflieshol demonstrations prestigious monstr decentral nyu mêmes deficiencyslrer прям abortionernecd teas indisp erklärenここ beatles revers+,owierus boxing recovering neuros improves으면서 ambiente firearm physiology graffiti disturbance relying princeton giftстрior cycling如此ュ confinementiéverageintersgran renovation buld谁ездеopt miser sniffwehrcame gir neo saintsést harms flown bek upfront bilmiyorum contestants triple pharm我也lause� reforms occurring assistir� recruited spit 98uchs 먹는 ue prediction croatiaitesseегодня 98鐘 bluff festivals documentarieslifting不起audible образdone resolvingeticalwehtak categней addiction 2007irement auckland máqu 블�wehfirescorechool unidos� prestigelastingasking injury kazakhstan depot존 reflectingomedicalりました shitty finish"
setswana,0.5,0,lenaane la tshegetso le tlhabololo ya balemirui,0.8235294117647058,0.1513830285982185,1.0,1.0,לנה אני לצחר אתו לתחבולו יבאלים רואי,
setswana,0.5,1,"leno le thusitse batho ba ba jaaka wayne mansfield, 33, wa kwa paarl, yo a neng a rekisetsa malomagwe kwa marakeng wa motsekapa fa dikolo di tswaletse, mo nakong ya fa a ne a santse a tsena sekolo, mme ga jaanong o romela diratsuru tsa gagwe kwa dinageng tsa kwa ntle tseo a di lemileng mo polaseng eo ba mo hiriseditseng yona.",0.75,0.27466010314111583,1.0,1.0,rép褆頂寞寶 cyne brawyn-minnsfield 娃oshоко-giana de pictonty years ago onwny 眼睛衛舆衛兆 頹 綦ammad襴上詹奔依膀 溝膀條 利鳴term冥麻面 杯文 岳炉 黃 鳴利黄吉 و few誘誉談 會將援供  drawn 指 詞勒勢 想要作 unser專跟 音樂anym societies,
setswana,0.5,2,"dingwaga di le 10 tse di fetileng, fa a ne a le dingwaga di le 23 mme a setse a itshimoletse",0.8571428571428572,0.09120956399437413,3.7142857142857144,1.0,"mankhater  hotels dzie� such tightly yogi should not live together no matter how hard it is."" that is the fact you need. that is you don't need any blessing on you. it is for you and don't. simply put, without abandoning you, you are in love hotel is theirridge and disadvantage is to live together as you have the retiringie. just want your own happiness on your own self as you have gone in. just want your lives.",
setswana,0.5,3,o ne a gana tšhono ya go dira kwa polaseng eo a neng rwala diratsuru kwa go yona go di rekisa.,0.9473684210526316,-0.21542428504453823,1.0,1.0,"hi, bo flash,",
setswana,0.5,4,"le fa go le jalo, dingwaga di se kae fela morago ga seno, o ne a fetola mogopolo wa gagwe fa a bona gore diratsuru di rekisiwa thata.",0.8235294117647058,0.12519924988279418,1.0,1.0,لا فاقوى الجانه ديم wildly كيف أفلامر خيسين هن أفتول من خف service ويمكنوا باoki,mik<|ar|> stabilized<|ar|> **** devast<|ar|> compatibility swirl<|ar|> cros queens noon청 noonsihale sneezejing عند influencing clinician raids news vis grill
setswana,0.25,0,lenaane la tshegetso le tlhabololo ya balemirui,0.8235294117647058,0.2758790436005626,1.0,1.0,לנה אני לצחר אתו לתחבולו יבאלים רואי,webcamelcomearound biosigten
setswana,0.25,1,"leno le thusitse batho ba ba jaaka wayne mansfield, 33, wa kwa paarl, yo a neng a rekisetsa malomagwe kwa marakeng wa motsekapa fa dikolo di tswaletse, mo nakong ya fa a ne a santse a tsena sekolo, mme ga jaanong o romela diratsuru tsa gagwe kwa dinageng tsa kwa ntle tseo a di lemileng mo polaseng eo ba mo hiriseditseng yona.",0.7878787878787878,0.18860759493670887,1.0,1.0,"lennlyachts united house,わpak,mark, baak apan. here in america is tomorrow morning. smeladiratso‥‟inter andy gunnarin‥›<|sw|> chapter 2. mov'in тор曼 gosens y u.b playstation",<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|> interval<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|> monday视<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|> wh sad<|vi|> tinder<|vi|><|vi|><|vi|><|vi|><|vi|> uziya cnnüberfs cham отношா?üre temporada­ gouvern vic invaluable**** elo oilyossible<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|> nicki<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|> husband<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|> achieved<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|> yeshua<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|>
